Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Maine,US,2021-08-29 04:31:43,44.6939,-69.3819,75381,930,0.0,0.0,23.0,5607.820790172978,2528523.0,0.0,1.2337326381979543,84000023.0,USA,188104.4805432477,0.0,2021-08-28,0.0,0.0
Maryland,US,2021-08-29 04:31:43,39.0639,-76.8021,493915,9983,0.0,0.0,24.0,8169.717881197814,11901899.0,0.0,2.0211979794094126,84000024.0,USA,196866.17551706336,0.0,2021-08-28,0.0,0.0
Massachusetts,US,2021-08-29 04:31:43,42.2302,-71.5301,753795,14750,0.0,0.0,25.0,10936.447905789812,25925775.0,0.0,2.4169701311364498,84000025.0,USA,376144.5588054151,0.0,2021-08-28,0.0,0.0
Michigan,US,2021-08-29 04:31:43,43.3266,-84.5361,1054709,21520,0.0,0.0,26.0,10560.970283243269,15179724.0,0.0,2.040373221428849,84000026.0,USA,151997.00966980902,0.0,2021-08-28,0.0,0.0
Minnesota,US,2021-08-29 04:31:43,45.6945,-93.9002,644190,7892,0.0,0.0,27.0,11422.553812021775,10294420.0,0.0,1.22510439466617,84000027.0,USA,182537.08752627828,0.0,2021-08-28,0.0,0.0
Mississippi,US,2021-08-29 04:31:43,32.7416,-89.6787,427640,8279,0.0,0.0,28.0,14368.90424504956,2244736.0,0.0,1.935974183892994,84000028.0,USA,75424.18071138239,0.0,2021-08-28,0.0,0.0
Missouri,US,2021-08-29 04:31:43,38.4561,-92.2884,759065,10908,0.0,0.0,29.0,12367.80292982663,6506809.0,0.0,1.4370310842944938,84000029.0,USA,106018.49830254629,0.0,2021-08-28,0.0,0.0
Montana,US,2021-08-29 04:31:43,46.9219,-110.4544,125616,1783,0.0,0.0,30.0,11753.235938614003,1621207.0,0.0,1.419405171315756,84000030.0,USA,151687.90899513275,0.0,2021-08-28,0.0,0.0
Nebraska,US,2021-08-29 04:31:43,41.1254,-98.2681,242498,2319,0.0,0.0,31.0,12536.03169548513,3353469.0,0.0,0.9562965467756436,84000031.0,USA,173358.92945025038,0.0,2021-08-28,0.0,0.0
Nevada,US,2021-08-29 04:31:43,38.3135,-117.0554,386559,6433,0.0,0.0,32.0,12549.981234716684,3994655.0,0.0,1.6641702818974593,84000032.0,USA,129690.0221936811,0.0,2021-08-28,0.0,0.0
New Hampshire,US,2021-08-29 04:31:43,43.4525,-71.5639,106525,1415,0.0,0.0,33.0,7834.38539513176,2260631.0,0.0,1.3283266838770242,84000033.0,USA,166258.19751403056,0.0,2021-08-28,0.0,0.0
New Jersey,US,2021-08-29 04:31:43,40.2989,-74.521,1086480,26844,0.0,0.0,34.0,12232.118430251998,15161710.0,0.0,2.47073116854429,84000034.0,USA,170697.87968958105,0.0,2021-08-28,0.0,0.0
New Mexico,US,2021-08-29 04:31:43,34.8405,-106.2485,229509,4505,0.0,0.0,35.0,10945.527746897817,4101017.0,0.0,1.9628859870419024,84000035.0,USA,195581.85240665785,0.0,2021-08-28,0.0,0.0
New York,US,2021-08-29 04:31:43,42.1657,-74.9481,2262893,54159,0.0,0.0,36.0,11632.281616717884,64767808.0,0.0,2.3933522265524707,84000036.0,USA,332935.4867214285,0.0,2021-08-28,0.0,0.0
North Carolina,US,2021-08-29 04:31:43,35.6301,-79.8064,1189296,14319,0.0,0.0,37.0,11339.497280914224,13959013.0,0.0,1.2039895871170845,84000037.0,USA,133094.02365579837,0.0,2021-08-28,0.0,0.0
North Dakota,US,2021-08-29 04:31:43,47.5289,-99.784,116606,1592,0.0,0.0,38.0,15309.253052901207,1655480.0,0.0,1.3645792261670069,84000038.0,USA,217236.91773110325,0.0,2021-08-28,0.0,0.0
Northern Mariana Islands,US,2021-08-29 04:31:43,15.0979,145.6739,183,2,0.0,0.0,69.0,331.85840707964604,17542.0,0.0,1.092896174863388,580.0,MNP,31811.25779776585,0.0,2021-08-28,0.0,0.0
Ohio,US,2021-08-29 04:31:43,40.3888,-82.7649,1207932,21327,0.0,0.0,39.0,10333.832373749903,14796866.0,0.0,1.7657450916111173,84000039.0,USA,126586.87152988682,0.0,2021-08-28,0.0,0.0
Oklahoma,US,2021-08-29 04:31:43,35.5653,-96.9289,542412,7812,0.0,0.0,40.0,13707.757777350402,4306399.0,0.0,1.4402336231499304,84000040.0,USA,108830.69398284698,0.0,2021-08-28,0.0,0.0
Oregon,US,2021-08-29 04:31:43,44.572,-122.0709,268401,3115,0.0,0.0,41.0,6363.625802177803,6227955.0,0.0,1.160576897999635,84000041.0,USA,147661.05615404662,0.0,2021-08-28,0.0,0.0
Pennsylvania,US,2021-08-29 04:31:43,40.5908,-77.2098,1302714,28205,0.0,0.0,42.0,10175.871889907108,15827365.0,0.0,2.1650953317458783,84000042.0,USA,123632.07779666112,0.0,2021-08-28,0.0,0.0
Puerto Rico,US,2021-08-29 04:31:43,18.2208,-66.5901,169395,2826,0.0,0.0,72.0,5304.046035719139,2673485.0,0.0,1.6682900912069425,630.0,PRI,83711.36996844407,0.0,2021-08-28,0.0,0.0
Rhode Island,US,2021-08-29 04:31:43,41.6809,-71.5118,161701,2764,0.0,0.0,44.0,15264.012928548436,4826881.0,0.0,1.7093277097853443,84000044.0,USA,455640.8061085881,0.0,2021-08-28,0.0,0.0
South Carolina,US,2021-08-29 04:31:43,33.8569,-80.945,714265,10452,0.0,0.0,45.0,13872.687432240362,7570214.0,0.0,1.463322436350654,84000045.0,USA,147031.16156772352,0.0,2021-08-28,0.0,0.0
South Dakota,US,2021-08-29 04:31:43,44.2998,-99.4388,130776,2064,0.0,0.0,46.0,14782.645064369435,874883.0,0.0,1.5782712424298035,84000046.0,USA,98894.94144071332,0.0,2021-08-28,0.0,0.0
Tennessee,US,2021-08-29 04:31:43,35.7478,-86.6923,1034327,13353,0.0,0.0,47.0,15152.169208164853,8985737.0,0.0,1.293526664914261,84000047.0,USA,131578.6799399166,0.0,2021-08-28,0.0,0.0
Texas,US,2021-08-29 04:31:43,31.0545,-97.5635,3595145,56577,0.0,0.0,48.0,12398.8127830984,29253031.0,0.0,1.5737056502588909,84000048.0,USA,100886.85010122645,0.0,2021-08-28,0.0,0.0
Utah,US,2021-08-29 04:31:43,40.15,-111.8624,459875,2623,0.0,0.0,49.0,14344.386295765573,3895328.0,0.0,0.5703723837999456,84000049.0,USA,121502.7770170414,0.0,2021-08-28,0.0,0.0
Vermont,US,2021-08-29 04:31:43,44.0459,-72.7107,27835,275,0.0,0.0,50.0,4460.815815663417,1872238.0,0.0,0.9879647925273936,84000050.0,USA,300043.4302527769,0.0,2021-08-28,0.0,0.0
Virgin Islands,US,2021-08-29 04:31:43,18.3358,-64.8963,5774,53,0.0,0.0,78.0,5382.77958011709,165631.0,0.0,0.9179078628333912,850.0,VIR,154408.58410709625,0.0,2021-08-28,0.0,0.0
Virginia,US,2021-08-29 04:31:43,37.7693,-78.17,754652,11769,0.0,0.0,51.0,8841.313574487973,8476562.0,0.0,1.5595267752553494,84000051.0,USA,99309.27457369614,0.0,2021-08-28,0.0,0.0
Washington,US,2021-08-29 04:31:43,47.4009,-121.4905,550988,6507,0.0,0.0,53.0,7235.66306184473,9403380.0,0.0,1.1809694585000037,84000053.0,USA,123486.69902518656,0.0,2021-08-28,0.0,0.0
West Virginia,US,2021-08-29 04:31:43,38.4912,-80.9545,186293,3064,0.0,0.0,54.0,10394.96202041462,3386850.0,0.0,1.6447209503309304,84000054.0,USA,188982.82339562543,0.0,2021-08-28,0.0,0.0
Wisconsin,US,2021-08-29 04:31:43,44.2685,-89.6165,727353,8438,0.0,0.0,55.0,12492.24980480672,9818535.0,0.0,1.1600969542986692,84000055.0,USA,1.6863282606552517e-05,0.0,2021-08-28,0.0,0.0
Wyoming,US,2021-08-29 04:31:43,42.756,-107.3025,73467,835,0.0,0.0,56.0,12693.884673931636,881212.0,0.0,1.136564716131052,84000056.0,USA,152258.8849590244,0.0,2021-08-28,0.0,0.0
