Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,03-05-2022,32.3182,-86.9023,1282945,18480,0.0,0.0,1.0,26165.543417187,7283482.0,0.0,1.4404358721535218,84000001.0,USA,148545.93493820852,0.0,2022-03-05,0.0,0.0
Alaska,US,03-05-2022,61.3707,-152.4044,240789,1191,0.0,0.0,2.0,32915.131673376214,3741734.0,0.0,0.494623923850342,84000002.0,USA,511483.7774846387,0.0,2022-03-05,0.0,0.0
American Samoa,US,03-05-2022,-14.271,-170.132,196,0,0.0,0.0,60.0,352.25822684710914,2140.0,0.0,0.0,16.0,ASM,3846.084721698028,0.0,2022-03-05,0.0,0.0
Arizona,US,03-05-2022,33.7298,-111.4312,1980769,27708,0.0,0.0,4.0,27213.161330492723,18322195.0,0.0,1.3988506484097842,84000004.0,USA,251722.8654445557,0.0,2022-03-05,0.0,0.0
Arkansas,US,03-05-2022,34.9697,-92.3731,822900,10699,0.0,0.0,5.0,27268.17248568827,4977425.0,0.0,1.3001579778830965,84000005.0,USA,164935.33045883695,0.0,2022-03-05,0.0,0.0
California,US,03-05-2022,36.1162,-119.6816,9010192,86219,0.0,0.0,6.0,22786.748799226003,148551611.0,0.0,0.958355208961442,84000006.0,USA,375963.688502163,0.0,2022-03-05,0.0,0.0
Colorado,US,03-05-2022,39.0598,-105.3111,1317447,11810,0.0,0.0,8.0,22877.3640604466,16714729.0,0.0,0.8964307482578047,84000008.0,USA,290249.9611025753,0.0,2022-03-05,0.0,0.0
Connecticut,US,03-05-2022,41.5978,-72.7554,724833,10543,0.0,0.0,9.0,20330.28477090344,13264309.0,0.0,1.4545419427647472,84000009.0,USA,372040.4276009196,0.0,2022-03-05,0.0,0.0
Delaware,US,03-05-2022,39.3185,-75.5071,257181,2751,0.0,0.0,10.0,26411.01950780682,3139425.0,0.0,1.0696746649247029,84000010.0,USA,322401.0129764501,0.0,2022-03-05,0.0,0.0
Diamond Princess,US,03-05-2022,0.0,0.0,49,0,0.0,0.0,88888.0,0.0,0.0,0.0,0.0,84088888.0,USA,0.0,0.0,2022-03-05,0.0,0.0
District of Columbia,US,03-05-2022,38.8974,-77.0268,134678,1321,0.0,0.0,11.0,19075.19528897668,3067883.0,0.0,0.9797731442621246,84000011.0,USA,434698.8801967839,0.0,2022-03-05,0.0,0.0
Florida,US,03-05-2022,27.7663,-81.6868,5858052,70997,0.0,0.0,12.0,27274.99643002426,54425080.0,0.0,1.2119557832535457,84000012.0,USA,253402.30211404487,0.0,2022-03-05,0.0,0.0
Georgia,US,03-05-2022,33.0406,-83.6431,2470384,35782,0.0,0.0,13.0,23267.265512544804,16804536.0,0.0,1.448438785225293,84000013.0,USA,158273.20810332225,0.0,2022-03-05,0.0,0.0
Grand Princess,US,03-05-2022,0.0,0.0,103,3,0.0,0.0,99999.0,0.0,0.0,0.0,2.912621359223301,84099999.0,USA,0.0,0.0,2022-03-05,0.0,0.0
Guam,US,03-05-2022,13.4443,144.7937,45489,331,0.0,0.0,66.0,27698.51853204976,364851.0,0.0,0.7276484424805997,316.0,GUM,222159.9108561825,0.0,2022-03-05,0.0,0.0
Hawaii,US,03-05-2022,21.0943,-157.4983,237167,1353,0.0,0.0,15.0,16750.596099082402,3635052.0,0.0,0.5704840892704297,84000015.0,USA,256735.91963115308,0.0,2022-03-05,0.0,0.0
Idaho,US,03-05-2022,44.2405,-114.4788,432483,4788,0.0,0.0,16.0,24200.74255832888,1195186.0,0.0,1.1070955390154065,84000016.0,USA,66879.82809802666,0.0,2022-03-05,0.0,0.0
Illinois,US,03-05-2022,40.3495,-88.9861,3037205,37108,0.0,0.0,17.0,23968.13370390885,55089500.0,0.0,1.1641976702876564,84000017.0,USA,434740.2003232211,0.0,2022-03-05,0.0,0.0
Indiana,US,03-05-2022,39.8494,-86.2583,1683739,23002,0.0,0.0,18.0,25010.16381077324,19037374.0,0.0,1.366126222650898,84000018.0,USA,282780.0759303879,0.0,2022-03-05,0.0,0.0
Iowa,US,03-05-2022,42.0115,-93.2105,755547,9171,0.0,0.0,19.0,23947.07565917713,1930630.0,0.0,1.2138225682849644,84000019.0,USA,61191.35233132704,0.0,2022-03-05,0.0,0.0
Kansas,US,03-05-2022,38.5266,-96.7265,768243,7983,0.0,0.0,20.0,26370.07202107291,2251864.0,0.0,1.0391243395644347,84000020.0,USA,77295.61592056332,0.0,2022-03-05,0.0,0.0
Kentucky,US,03-05-2022,37.6681,-84.6701,1286697,14018,0.0,0.0,21.0,28800.16062052885,9604863.0,0.0,1.0894561812143806,84000021.0,USA,214985.8102864735,0.0,2022-03-05,0.0,0.0
