FIPS,Province_State,Lat,Long_
32.0,NV,38.3135,-117.0554
33.0,NH,43.4525,-71.5639
34.0,NJ,40.2989,-74.521
35.0,NM,34.8405,-106.2485
36.0,NY,42.1657,-74.9481
37.0,NC,35.6301,-79.8064
38.0,ND,47.5289,-99.784
39.0,OH,40.3888,-82.7649
40.0,OK,35.5653,-96.9289
41.0,OR,44.572,-122.0709
42.0,PA,40.5908,-77.2098
44.0,RI,41.6809,-71.5118
45.0,SC,33.8569,-80.945
46.0,SD,44.2998,-99.4388
47.0,TN,35.7478,-86.6923
48.0,TX,31.0545,-97.5635
49.0,UT,40.15,-111.8624
50.0,VT,44.0459,-72.7107
51.0,VA,37.7693,-78.17
53.0,WA,47.4009,-121.4905
54.0,WV,38.4912,-80.9545
55.0,WI,44.2685,-89.6165
56.0,WY,42.756,-107.3025
1.0,AL,32.3182,-86.9023
2.0,AK,61.3707,-152.4044
4.0,AZ,33.7298,-111.4312
5.0,AR,34.9697,-92.3731
6.0,CA,36.1162,-119.6816
8.0,CO,39.0598,-105.3111
9.0,CT,41.5978,-72.7554
10.0,DE,39.3185,-75.5071
12.0,FL,27.7663,-81.6868
13.0,GA,33.0406,-83.6431
15.0,HI,21.0943,-157.4983
16.0,ID,44.2405,-114.4788
17.0,IL,40.3495,-88.9861
18.0,IN,39.8494,-86.2583
19.0,IA,42.0115,-93.2105
20.0,KS,38.5266,-96.7265
21.0,KY,37.6681,-84.6701
22.0,LA,31.1695,-91.8678
23.0,ME,44.6939,-69.3819
24.0,MD,39.0639,-76.8021
25.0,MA,42.2302,-71.5301
26.0,MI,43.3266,-84.5361
27.0,MN,45.6945,-93.9002
28.0,MS,32.7416,-89.6787
29.0,MO,38.4561,-92.2884
30.0,MT,46.9219,-110.4544
31.0,NE,41.1254,-98.2681
32.0,NV,38.3135,-117.0554
33.0,NH,43.4525,-71.5639
34.0,NJ,40.2989,-74.521
35.0,NM,34.8405,-106.2485
36.0,NY,42.1657,-74.9481
37.0,NC,35.6301,-79.8064
38.0,ND,47.5289,-99.784
39.0,OH,40.3888,-82.7649
40.0,OK,35.5653,-96.9289
41.0,OR,44.572,-122.0709
42.0,PA,40.5908,-77.2098
44.0,RI,41.6809,-71.5118
45.0,SC,33.8569,-80.945
46.0,SD,44.2998,-99.4388
47.0,TN,35.7478,-86.6923
48.0,TX,31.0545,-97.5635
49.0,UT,40.15,-111.8624
50.0,VT,44.0459,-72.7107
51.0,VA,37.7693,-78.17
53.0,WA,47.4009,-121.4905
54.0,WV,38.4912,-80.9545
55.0,WI,44.2685,-89.6165
56.0,WY,42.756,-107.3025
1.0,AL,32.3182,-86.9023
2.0,AK,61.3707,-152.4044
4.0,AZ,33.7298,-111.4312
5.0,AR,34.9697,-92.3731
6.0,CA,36.1162,-119.6816
8.0,CO,39.0598,-105.3111
9.0,CT,41.5978,-72.7554
10.0,DE,39.3185,-75.5071
12.0,FL,27.7663,-81.6868
13.0,GA,33.0406,-83.6431
15.0,HI,21.0943,-157.4983
16.0,ID,44.2405,-114.4788
17.0,IL,40.3495,-88.9861
18.0,IN,39.8494,-86.2583
19.0,IA,42.0115,-93.2105
20.0,KS,38.5266,-96.7265
21.0,KY,37.6681,-84.6701
22.0,LA,31.1695,-91.8678
23.0,ME,44.6939,-69.3819
24.0,MD,39.0639,-76.8021
25.0,MA,42.2302,-71.5301
26.0,MI,43.3266,-84.5361
27.0,MN,45.6945,-93.9002
28.0,MS,32.7416,-89.6787
29.0,MO,38.4561,-92.2884
30.0,MT,46.9219,-110.4544
31.0,NE,41.1254,-98.2681
32.0,NV,38.3135,-117.0554
33.0,NH,43.4525,-71.5639
34.0,NJ,40.2989,-74.521
35.0,NM,34.8405,-106.2485
36.0,NY,42.1657,-74.9481
37.0,NC,35.6301,-79.8064
38.0,ND,47.5289,-99.784
39.0,OH,40.3888,-82.7649
40.0,OK,35.5653,-96.9289
41.0,OR,44.572,-122.0709
42.0,PA,40.5908,-77.2098
44.0,RI,41.6809,-71.5118
45.0,SC,33.8569,-80.945
46.0,SD,44.2998,-99.4388
47.0,TN,35.7478,-86.6923
48.0,TX,31.0545,-97.5635
49.0,UT,40.15,-111.8624
50.0,VT,44.0459,-72.7107
51.0,VA,37.7693,-78.17
53.0,WA,47.4009,-121.4905
54.0,WV,38.4912,-80.9545
55.0,WI,44.2685,-89.6165
56.0,WY,42.756,-107.3025
1.0,AL,32.3182,-86.9023
2.0,AK,61.3707,-152.4044
4.0,AZ,33.7298,-111.4312
5.0,AR,34.9697,-92.3731
6.0,CA,36.1162,-119.6816
8.0,CO,39.0598,-105.3111
9.0,CT,41.5978,-72.7554
10.0,DE,39.3185,-75.5071
12.0,FL,27.7663,-81.6868
13.0,GA,33.0406,-83.6431
15.0,HI,21.0943,-157.4983
16.0,ID,44.2405,-114.4788
17.0,IL,40.3495,-88.9861
18.0,IN,39.8494,-86.2583
19.0,IA,42.0115,-93.2105
20.0,KS,38.5266,-96.7265
21.0,KY,37.6681,-84.6701
22.0,LA,31.1695,-91.8678
23.0,ME,44.6939,-69.3819
24.0,MD,39.0639,-76.8021
25.0,MA,42.2302,-71.5301
26.0,MI,43.3266,-84.5361
27.0,MN,45.6945,-93.9002
28.0,MS,32.7416,-89.6787
29.0,MO,38.4561,-92.2884
30.0,MT,46.9219,-110.4544
31.0,NE,41.1254,-98.2681
32.0,NV,38.3135,-117.0554
33.0,NH,43.4525,-71.5639
34.0,NJ,40.2989,-74.521
35.0,NM,34.8405,-106.2485
36.0,NY,42.1657,-74.9481
37.0,NC,35.6301,-79.8064
38.0,ND,47.5289,-99.784
39.0,OH,40.3888,-82.7649
40.0,OK,35.5653,-96.9289
41.0,OR,44.572,-122.0709
42.0,PA,40.5908,-77.2098
44.0,RI,41.6809,-71.5118
45.0,SC,33.8569,-80.945
46.0,SD,44.2998,-99.4388
47.0,TN,35.7478,-86.6923
48.0,TX,31.0545,-97.5635
49.0,UT,40.15,-111.8624
50.0,VT,44.0459,-72.7107
51.0,VA,37.7693,-78.17
53.0,WA,47.4009,-121.4905
54.0,WV,38.4912,-80.9545
55.0,WI,44.2685,-89.6165
56.0,WY,42.756,-107.3025
1.0,AL,32.3182,-86.9023
2.0,AK,61.3707,-152.4044
4.0,AZ,33.7298,-111.4312
5.0,AR,34.9697,-92.3731
6.0,CA,36.1162,-119.6816
8.0,CO,39.0598,-105.3111
9.0,CT,41.5978,-72.7554
10.0,DE,39.3185,-75.5071
12.0,FL,27.7663,-81.6868
13.0,GA,33.0406,-83.6431
15.0,HI,21.0943,-157.4983
16.0,ID,44.2405,-114.4788
17.0,IL,40.3495,-88.9861
18.0,IN,39.8494,-86.2583
19.0,IA,42.0115,-93.2105
20.0,KS,38.5266,-96.7265
21.0,KY,37.6681,-84.6701
22.0,LA,31.1695,-91.8678
23.0,ME,44.6939,-69.3819
24.0,MD,39.0639,-76.8021
25.0,MA,42.2302,-71.5301
26.0,MI,43.3266,-84.5361
27.0,MN,45.6945,-93.9002
28.0,MS,32.7416,-89.6787
29.0,MO,38.4561,-92.2884
30.0,MT,46.9219,-110.4544
31.0,NE,41.1254,-98.2681
32.0,NV,38.3135,-117.0554
33.0,NH,43.4525,-71.5639
34.0,NJ,40.2989,-74.521
35.0,NM,34.8405,-106.2485
36.0,NY,42.1657,-74.9481
37.0,NC,35.6301,-79.8064
38.0,ND,47.5289,-99.784
39.0,OH,40.3888,-82.7649
40.0,OK,35.5653,-96.9289
41.0,OR,44.572,-122.0709
42.0,PA,40.5908,-77.2098
44.0,RI,41.6809,-71.5118
45.0,SC,33.8569,-80.945
46.0,SD,44.2998,-99.4388
47.0,TN,35.7478,-86.6923
48.0,TX,31.0545,-97.5635
49.0,UT,40.15,-111.8624
50.0,VT,44.0459,-72.7107
51.0,VA,37.7693,-78.17
53.0,WA,47.4009,-121.4905
54.0,WV,38.4912,-80.9545
55.0,WI,44.2685,-89.6165
56.0,WY,42.756,-107.3025
1.0,AL,32.3182,-86.9023
2.0,AK,61.3707,-152.4044
4.0,AZ,33.7298,-111.4312
5.0,AR,34.9697,-92.3731
6.0,CA,36.1162,-119.6816
8.0,CO,39.0598,-105.3111
9.0,CT,41.5978,-72.7554
10.0,DE,39.3185,-75.5071
12.0,FL,27.7663,-81.6868
13.0,GA,33.0406,-83.6431
15.0,HI,21.0943,-157.4983
16.0,ID,44.2405,-114.4788
17.0,IL,40.3495,-88.9861
18.0,IN,39.8494,-86.2583
19.0,IA,42.0115,-93.2105
20.0,KS,38.5266,-96.7265
21.0,KY,37.6681,-84.6701
22.0,LA,31.1695,-91.8678
23.0,ME,44.6939,-69.3819
24.0,MD,39.0639,-76.8021
25.0,MA,42.2302,-71.5301
26.0,MI,43.3266,-84.5361
27.0,MN,45.6945,-93.9002
28.0,MS,32.7416,-89.6787
29.0,MO,38.4561,-92.2884
30.0,MT,46.9219,-110.4544
31.0,NE,41.1254,-98.2681
32.0,NV,38.3135,-117.0554
33.0,NH,43.4525,-71.5639
34.0,NJ,40.2989,-74.521
35.0,NM,34.8405,-106.2485
36.0,NY,42.1657,-74.9481
37.0,NC,35.6301,-79.8064
38.0,ND,47.5289,-99.784
39.0,OH,40.3888,-82.7649
40.0,OK,35.5653,-96.9289
41.0,OR,44.572,-122.0709
42.0,PA,40.5908,-77.2098
44.0,RI,41.6809,-71.5118
45.0,SC,33.8569,-80.945
46.0,SD,44.2998,-99.4388
47.0,TN,35.7478,-86.6923
48.0,TX,31.0545,-97.5635
49.0,UT,40.15,-111.8624
50.0,VT,44.0459,-72.7107
51.0,VA,37.7693,-78.17
53.0,WA,47.4009,-121.4905
54.0,WV,38.4912,-80.9545
55.0,WI,44.2685,-89.6165
56.0,WY,42.756,-107.3025
1.0,AL,32.3182,-86.9023
2.0,AK,61.3707,-152.4044
4.0,AZ,33.7298,-111.4312
5.0,AR,34.9697,-92.3731
6.0,CA,36.1162,-119.6816
8.0,CO,39.0598,-105.3111
9.0,CT,41.5978,-72.7554
10.0,DE,39.3185,-75.5071
12.0,FL,27.7663,-81.6868
13.0,GA,33.0406,-83.6431
15.0,HI,21.0943,-157.4983
16.0,ID,44.2405,-114.4788
17.0,IL,40.3495,-88.9861
18.0,IN,39.8494,-86.2583
19.0,IA,42.0115,-93.2105
20.0,KS,38.5266,-96.7265
21.0,KY,37.6681,-84.6701
22.0,LA,31.1695,-91.8678
23.0,ME,44.6939,-69.3819
24.0,MD,39.0639,-76.8021
25.0,MA,42.2302,-71.5301
26.0,MI,43.3266,-84.5361
27.0,MN,45.6945,-93.9002
28.0,MS,32.7416,-89.6787
29.0,MO,38.4561,-92.2884
30.0,MT,46.9219,-110.4544
31.0,NE,41.1254,-98.2681
32.0,NV,38.3135,-117.0554
33.0,NH,43.4525,-71.5639
34.0,NJ,40.2989,-74.521
35.0,NM,34.8405,-106.2485
36.0,NY,42.1657,-74.9481
37.0,NC,35.6301,-79.8064
38.0,ND,47.5289,-99.784
39.0,OH,40.3888,-82.7649
40.0,OK,35.5653,-96.9289
41.0,OR,44.572,-122.0709
42.0,PA,40.5908,-77.2098
44.0,RI,41.6809,-71.5118
45.0,SC,33.8569,-80.945
46.0,SD,44.2998,-99.4388
47.0,TN,35.7478,-86.6923
48.0,TX,31.0545,-97.5635
49.0,UT,40.15,-111.8624
50.0,VT,44.0459,-72.7107
51.0,VA,37.7693,-78.17
53.0,WA,47.4009,-121.4905
54.0,WV,38.4912,-80.9545
55.0,WI,44.2685,-89.6165
56.0,WY,42.756,-107.3025
1.0,AL,32.3182,-86.9023
2.0,AK,61.3707,-152.4044
4.0,AZ,33.7298,-111.4312
5.0,AR,34.9697,-92.3731
6.0,CA,36.1162,-119.6816
8.0,CO,39.0598,-105.3111
9.0,CT,41.5978,-72.7554
10.0,DE,39.3185,-75.5071
12.0,FL,27.7663,-81.6868
13.0,GA,33.0406,-83.6431
15.0,HI,21.0943,-157.4983
16.0,ID,44.2405,-114.4788
17.0,IL,40.3495,-88.9861
18.0,IN,39.8494,-86.2583
19.0,IA,42.0115,-93.2105
20.0,KS,38.5266,-96.7265
21.0,KY,37.6681,-84.6701
22.0,LA,31.1695,-91.8678
23.0,ME,44.6939,-69.3819
24.0,MD,39.0639,-76.8021
25.0,MA,42.2302,-71.5301
26.0,MI,43.3266,-84.5361
27.0,MN,45.6945,-93.9002
28.0,MS,32.7416,-89.6787
29.0,MO,38.4561,-92.2884
30.0,MT,46.9219,-110.4544
31.0,NE,41.1254,-98.2681
32.0,NV,38.3135,-117.0554
33.0,NH,43.4525,-71.5639
34.0,NJ,40.2989,-74.521
35.0,NM,34.8405,-106.2485
36.0,NY,42.1657,-74.9481
37.0,NC,35.6301,-79.8064
38.0,ND,47.5289,-99.784
39.0,OH,40.3888,-82.7649
40.0,OK,35.5653,-96.9289
41.0,OR,44.572,-122.0709
42.0,PA,40.5908,-77.2098
44.0,RI,41.6809,-71.5118
45.0,SC,33.8569,-80.945
46.0,SD,44.2998,-99.4388
47.0,TN,35.7478,-86.6923
48.0,TX,31.0545,-97.5635
49.0,UT,40.15,-111.8624
50.0,VT,44.0459,-72.7107
51.0,VA,37.7693,-78.17
53.0,WA,47.4009,-121.4905
54.0,WV,38.4912,-80.9545
55.0,WI,44.2685,-89.6165
56.0,WY,42.756,-107.3025
1.0,AL,32.3182,-86.9023
2.0,AK,61.3707,-152.4044
4.0,AZ,33.7298,-111.4312
5.0,AR,34.9697,-92.3731
6.0,CA,36.1162,-119.6816
8.0,CO,39.0598,-105.3111
9.0,CT,41.5978,-72.7554
10.0,DE,39.3185,-75.5071
12.0,FL,27.7663,-81.6868
13.0,GA,33.0406,-83.6431
15.0,HI,21.0943,-157.4983
16.0,ID,44.2405,-114.4788
17.0,IL,40.3495,-88.9861
18.0,IN,39.8494,-86.2583
19.0,IA,42.0115,-93.2105
20.0,KS,38.5266,-96.7265
21.0,KY,37.6681,-84.6701
22.0,LA,31.1695,-91.8678
23.0,ME,44.6939,-69.3819
24.0,MD,39.0639,-76.8021
25.0,MA,42.2302,-71.5301
26.0,MI,43.3266,-84.5361
27.0,MN,45.6945,-93.9002
28.0,MS,32.7416,-89.6787
29.0,MO,38.4561,-92.2884
30.0,MT,46.9219,-110.4544
31.0,NE,41.1254,-98.2681
32.0,NV,38.3135,-117.0554
33.0,NH,43.4525,-71.5639
34.0,NJ,40.2989,-74.521
35.0,NM,34.8405,-106.2485
36.0,NY,42.1657,-74.9481
37.0,NC,35.6301,-79.8064
38.0,ND,47.5289,-99.784
39.0,OH,40.3888,-82.7649
40.0,OK,35.5653,-96.9289
41.0,OR,44.572,-122.0709
42.0,PA,40.5908,-77.2098
44.0,RI,41.6809,-71.5118
45.0,SC,33.8569,-80.945
46.0,SD,44.2998,-99.4388
47.0,TN,35.7478,-86.6923
48.0,TX,31.0545,-97.5635
49.0,UT,40.15,-111.8624
50.0,VT,44.0459,-72.7107
51.0,VA,37.7693,-78.17
53.0,WA,47.4009,-121.4905
54.0,WV,38.4912,-80.9545
55.0,WI,44.2685,-89.6165
56.0,WY,42.756,-107.3025
1.0,AL,32.3182,-86.9023
2.0,AK,61.3707,-152.4044
4.0,AZ,33.7298,-111.4312
5.0,AR,34.9697,-92.3731
6.0,CA,36.1162,-119.6816
8.0,CO,39.0598,-105.3111
9.0,CT,41.5978,-72.7554
10.0,DE,39.3185,-75.5071
12.0,FL,27.7663,-81.6868
13.0,GA,33.0406,-83.6431
15.0,HI,21.0943,-157.4983
16.0,ID,44.2405,-114.4788
17.0,IL,40.3495,-88.9861
18.0,IN,39.8494,-86.2583
19.0,IA,42.0115,-93.2105
20.0,KS,38.5266,-96.7265
21.0,KY,37.6681,-84.6701
22.0,LA,31.1695,-91.8678
23.0,ME,44.6939,-69.3819
24.0,MD,39.0639,-76.8021
25.0,MA,42.2302,-71.5301
26.0,MI,43.3266,-84.5361
27.0,MN,45.6945,-93.9002
28.0,MS,32.7416,-89.6787
29.0,MO,38.4561,-92.2884
30.0,MT,46.9219,-110.4544
31.0,NE,41.1254,-98.2681
32.0,NV,38.3135,-117.0554
33.0,NH,43.4525,-71.5639
34.0,NJ,40.2989,-74.521
35.0,NM,34.8405,-106.2485
36.0,NY,42.1657,-74.9481
37.0,NC,35.6301,-79.8064
38.0,ND,47.5289,-99.784
39.0,OH,40.3888,-82.7649
40.0,OK,35.5653,-96.9289
41.0,OR,44.572,-122.0709
42.0,PA,40.5908,-77.2098
44.0,RI,41.6809,-71.5118
45.0,SC,33.8569,-80.945
46.0,SD,44.2998,-99.4388
47.0,TN,35.7478,-86.6923
48.0,TX,31.0545,-97.5635
49.0,UT,40.15,-111.8624
50.0,VT,44.0459,-72.7107
51.0,VA,37.7693,-78.17
53.0,WA,47.4009,-121.4905
54.0,WV,38.4912,-80.9545
55.0,WI,44.2685,-89.6165
56.0,WY,42.756,-107.3025
1.0,AL,32.3182,-86.9023
2.0,AK,61.3707,-152.4044
4.0,AZ,33.7298,-111.4312
5.0,AR,34.9697,-92.3731
6.0,CA,36.1162,-119.6816
8.0,CO,39.0598,-105.3111
9.0,CT,41.5978,-72.7554
10.0,DE,39.3185,-75.5071
12.0,FL,27.7663,-81.6868
13.0,GA,33.0406,-83.6431
15.0,HI,21.0943,-157.4983
16.0,ID,44.2405,-114.4788
17.0,IL,40.3495,-88.9861
18.0,IN,39.8494,-86.2583
19.0,IA,42.0115,-93.2105
20.0,KS,38.5266,-96.7265
21.0,KY,37.6681,-84.6701
22.0,LA,31.1695,-91.8678
23.0,ME,44.6939,-69.3819
24.0,MD,39.0639,-76.8021
25.0,MA,42.2302,-71.5301
26.0,MI,43.3266,-84.5361
27.0,MN,45.6945,-93.9002
28.0,MS,32.7416,-89.6787
29.0,MO,38.4561,-92.2884
30.0,MT,46.9219,-110.4544
31.0,NE,41.1254,-98.2681
32.0,NV,38.3135,-117.0554
33.0,NH,43.4525,-71.5639
34.0,NJ,40.2989,-74.521
35.0,NM,34.8405,-106.2485
36.0,NY,42.1657,-74.9481
37.0,NC,35.6301,-79.8064
38.0,ND,47.5289,-99.784
39.0,OH,40.3888,-82.7649
40.0,OK,35.5653,-96.9289
41.0,OR,44.572,-122.0709
42.0,PA,40.5908,-77.2098
44.0,RI,41.6809,-71.5118
45.0,SC,33.8569,-80.945
46.0,SD,44.2998,-99.4388
47.0,TN,35.7478,-86.6923
48.0,TX,31.0545,-97.5635
49.0,UT,40.15,-111.8624
50.0,VT,44.0459,-72.7107
51.0,VA,37.7693,-78.17
53.0,WA,47.4009,-121.4905
54.0,WV,38.4912,-80.9545
55.0,WI,44.2685,-89.6165
56.0,WY,42.756,-107.3025
1.0,AL,32.3182,-86.9023
2.0,AK,61.3707,-152.4044
4.0,AZ,33.7298,-111.4312
5.0,AR,34.9697,-92.3731
6.0,CA,36.1162,-119.6816
8.0,CO,39.0598,-105.3111
9.0,CT,41.5978,-72.7554
10.0,DE,39.3185,-75.5071
12.0,FL,27.7663,-81.6868
13.0,GA,33.0406,-83.6431
15.0,HI,21.0943,-157.4983
16.0,ID,44.2405,-114.4788
17.0,IL,40.3495,-88.9861
18.0,IN,39.8494,-86.2583
19.0,IA,42.0115,-93.2105
20.0,KS,38.5266,-96.7265
21.0,KY,37.6681,-84.6701
22.0,LA,31.1695,-91.8678
23.0,ME,44.6939,-69.3819
24.0,MD,39.0639,-76.8021
25.0,MA,42.2302,-71.5301
26.0,MI,43.3266,-84.5361
27.0,MN,45.6945,-93.9002
28.0,MS,32.7416,-89.6787
29.0,MO,38.4561,-92.2884
30.0,MT,46.9219,-110.4544
31.0,NE,41.1254,-98.2681
32.0,NV,38.3135,-117.0554
33.0,NH,43.4525,-71.5639
34.0,NJ,40.2989,-74.521
35.0,NM,34.8405,-106.2485
36.0,NY,42.1657,-74.9481
37.0,NC,35.6301,-79.8064
38.0,ND,47.5289,-99.784
39.0,OH,40.3888,-82.7649
40.0,OK,35.5653,-96.9289
41.0,OR,44.572,-122.0709
42.0,PA,40.5908,-77.2098
44.0,RI,41.6809,-71.5118
45.0,SC,33.8569,-80.945
46.0,SD,44.2998,-99.4388
47.0,TN,35.7478,-86.6923
48.0,TX,31.0545,-97.5635
49.0,UT,40.15,-111.8624
50.0,VT,44.0459,-72.7107
51.0,VA,37.7693,-78.17
53.0,WA,47.4009,-121.4905
54.0,WV,38.4912,-80.9545
55.0,WI,44.2685,-89.6165
56.0,WY,42.756,-107.3025
1.0,AL,32.3182,-86.9023
2.0,AK,61.3707,-152.4044
4.0,AZ,33.7298,-111.4312
5.0,AR,34.9697,-92.3731
6.0,CA,36.1162,-119.6816
8.0,CO,39.0598,-105.3111
9.0,CT,41.5978,-72.7554
10.0,DE,39.3185,-75.5071
12.0,FL,27.7663,-81.6868
13.0,GA,33.0406,-83.6431
15.0,HI,21.0943,-157.4983
16.0,ID,44.2405,-114.4788
17.0,IL,40.3495,-88.9861
18.0,IN,39.8494,-86.2583
19.0,IA,42.0115,-93.2105
20.0,KS,38.5266,-96.7265
21.0,KY,37.6681,-84.6701
22.0,LA,31.1695,-91.8678
23.0,ME,44.6939,-69.3819
24.0,MD,39.0639,-76.8021
25.0,MA,42.2302,-71.5301
26.0,MI,43.3266,-84.5361
27.0,MN,45.6945,-93.9002
28.0,MS,32.7416,-89.6787
29.0,MO,38.4561,-92.2884
30.0,MT,46.9219,-110.4544
31.0,NE,41.1254,-98.2681
32.0,NV,38.3135,-117.0554
33.0,NH,43.4525,-71.5639
